Datetime,NO2,Ozone,CO,SO2,AT,RH,PM2.5,PM10
07-07-2022 09:00,1.88173125,8.869886935,243.201023,2.98536401,27.76,60.6125,2.3843821,4.87637006
07-07-2022 10:00,1.904175,12.03386846,201.8051042,3.0477307,26.18,68.44,2.2377466,6.93178197
07-07-2022 11:00,1.93134375,14.42256974,217.3285737,3.022431005,25.2975,72.6325,3.3921679,9.10880409
07-07-2022 12:00,1.98095625,16.89901388,191.4561245,3.0124288,26.6675,69.905,3.1593285,9.26231206
07-07-2022 13:00,1.85101875,14.03754881,196.6306143,3.023607735,26.9875,69.9325,3.0953421,7.01950081
07-07-2022 14:00,1.9112625,11.21537158,199.2178592,3.005956785,26.4,73.3575,2.6980932,7.301596625
07-07-2022 15:00,1.923075,12.57604079,206.979594,3.00301496,26.65,73.625,2.9922529,6.03864469
07-07-2022 16:00,1.92661875,11.75230553,245.7882679,2.994189485,24.3175,84.0875,3.954715,6.504152625
07-07-2022 17:00,1.91008125,12.2316173,235.4392882,3.034198305,23.36,88.2875,5.8058771,10.15245893
07-07-2022 18:00,1.84629375,9.29288612,266.4862273,3.054202715,22.625,91.575,6.39864,10.85720006
07-07-2022 19:00,2.01166875,10.15067085,266.4862273,2.97830363,22.08,93.495,5.643245,12.91261197
07-07-2022 20:00,1.84865625,10.12578854,310.469391,3.004780055,21.025,91.5225,4.576805,11.71245875
07-07-2022 21:00,1.84275,11.56634304,258.7244925,3.010663705,20.2275,88.1125,10.0574179,18.540573
07-07-2022 22:00,1.932525,22.4726502,111.2515318,3.01007534,20.195,85.015,7.6828115,10.89806907
07-07-2022 23:00,1.79195625,22.94803319,75.03010283,3.030668115,19.765,85.9475,3.9342749,7.66742406
08-07-2022 00:00,1.89732375,0.9691003,77.61734775,3.31484841,19.7725,86.24,2.19117872,6.461090649
08-07-2022 01:00,1.90204875,1.014936125,72.4428579,3.283665065,19.4165,88.1625,1.86591452,3.4290092
08-07-2022 02:00,1.89212625,1.033270455,82.7918376,3.31014149,18.9105,90.775,0.5723228,3.10205716
08-07-2022 03:00,1.9320525,1.054223975,59.50663328,3.261307195,19.149,90.685,0.68376578,3.83769925
08-07-2022 04:00,1.90724625,1.02672248,62.0938782,3.308376395,19.3325,88.9425,1.43062926,2.72127765
08-07-2022 05:00,1.91480625,1.080415875,69.85561298,3.282488335,20.594,85.63,1.5863295,1.452344885
08-07-2022 06:00,1.92992625,1.085654255,72.4428579,3.34779685,23.5015,75.325,1.11371884,0.569175655
08-07-2022 07:00,1.8649575,1.01100734,87.96632745,3.34897358,24.445,69.875,1.57139934,1.9138656
08-07-2022 08:00,1.85054625,1.35935961,98.31530715,3.396631145,23.9545,71.8075,1.2850602,1.755373605
08-07-2022 09:00,1.8488925,1.01886491,113.8387767,3.35956415,24.0155,72.2275,2.0404552,3.965090929
08-07-2022 10:00,1.90204875,0.92719326,124.1877564,3.42546103,24.871,70.645,1.1695292,3.743401497
08-07-2022 11:00,1.93795875,1.090892635,142.2984709,3.454290915,25.7105,68.8825,0.5758776,1.75836402
08-07-2022 12:00,1.953315,1.18911226,152.6474506,3.481355705,26.168,67.6625,0.6052047,1.2759104
08-07-2022 13:00,1.93465125,1.048985595,150.0602057,3.5066554,27.026,62.44,0.71096,3.023309565
08-07-2022 14:00,1.92520125,1.109226965,155.2346955,3.470765135,27.4185,58.9725,0.9562412,3.553609825
08-07-2022 15:00,1.95048,1.067319925,157.8219404,3.56902209,26.1765,66.9525,0.8229362,3.86361618
08-07-2022 16:00,1.90441125,1.11577494,137.123981,3.6596303,23.304,78.545,5.1766775,8.838669935
08-07-2022 17:00,1.934415,1.047676,139.711226,3.56313844,22.538,81.2125,6.620815,9.113788115
08-07-2022 18:00,1.9764675,0.897072575,144.8857158,3.506067035,22.7555,80.4925,4.60862046,8.050994624
08-07-2022 19:00,1.96205625,0.96648111,139.711226,3.49724156,22.546,83.755,2.92791102,4.492201413
08-07-2022 20:00,1.89567,0.931122045,155.2346955,3.45487928,21.883,87.7625,2.13288,4.09487494
08-07-2022 21:00,1.95213375,0.72551563,269.0734722,3.39957297,19.784,91.8675,4.6016886,7.172011975
08-07-2022 22:00,1.92945375,0.920645285,243.201023,3.37250818,20.001,92.9425,5.68768,7.0175072
